id	createDate	creator_id	discussionCategory
1	1237947583374	1	QUESTION
2	1237967475980	2	QUESTION
3	1237967657946	3	QUESTION
4	1238002694591	1	QUESTION
5	1238012742517	49	QUESTION
6	1238012797736	49	QUESTION
7	1238030908692	3	QUESTION
8	1238093032365	48	QUESTION
9	1238104421614	38	QUESTION
10	1238110542345	38	QUESTION
11	1238416746450	2	QUESTION
12	1238428020837	52	QUESTION
13	1238519359048	3	QUESTION
14	1238533601035	8	QUESTION
15	1238538927346	8	QUESTION
16	1238607107206	1	QUESTION
17	1238636701649	48	QUESTION
18	1238641090162	8	QUESTION
19	1238691914238	38	QUESTION
20	1238699684697	92	QUESTION
21	1238703923495	30	QUESTION
22	1238761172461	2	QUESTION
23	1238983228483	1	QUESTION
24	1238995818189	38	QUESTION
25	1239040872338	1	QUESTION
26	1239114109610	3	QUESTION
27	1239194532591	1	QUESTION
28	1239197895759	30	QUESTION
29	1239284005753	2	QUESTION
30	1239367544338	110	QUESTION
32	1239707848274	52	QUESTION
33	1239743620128	21	QUESTION
34	1239799456888	92	QUESTION
35	1239816341658	123	QUESTION
36	1239844265963	30	QUESTION
37	1239883068830	123	QUESTION
38	1239904441365	52	QUESTION
39	1239985578708	119	QUESTION
40	1240193802782	47	QUESTION
41	1240230665207	123	QUESTION
42	1240235591744	8	QUESTION
43	1240242851839	38	QUESTION
44	1240260457876	119	QUESTION
45	1240263785947	38	QUESTION
46	1240305482115	8	QUESTION
47	1240323804769	119	QUESTION
48	1240325035187	119	QUESTION
49	1240325243495	119	QUESTION
50	1240427222877	30	QUESTION
51	1240430690545	123	QUESTION
52	1240511585784	188	QUESTION
53	1240513207803	119	QUESTION
54	1240517452411	8	QUESTION
55	1240518497587	52	QUESTION
56	1240588038106	2	QUESTION
57	1240604029544	48	QUESTION
58	1240681906229	38	QUESTION
59	1240815754763	8	QUESTION
60	1240856747012	234	QUESTION
61	1240929938428	234	QUESTION
62	1240934441963	119	QUESTION
63	1240941255996	119	QUESTION
64	1240944074919	92	QUESTION
65	1240953010515	188	QUESTION
66	1240965511989	234	QUESTION
67	1241024936098	234	QUESTION
68	1241030069292	234	QUESTION
69	1241044965472	234	QUESTION
70	1241045577163	234	QUESTION
71	1241046699801	234	QUESTION
72	1241074429330	176	QUESTION
73	1241112713315	119	QUESTION
74	1241132653605	234	QUESTION
75	1241225531064	76	QUESTION
76	1241389737053	48	QUESTION
77	1241550545220	234	QUESTION
78	1241563232518	211	QUESTION
79	1241661600694	160	QUESTION
80	1241703361791	119	QUESTION
81	1241744345724	48	POSITION
82	1241754975158	92	POSITION
83	1241758278489	92	POSITION
84	1241789979270	1	POSITION
85	1241790027429	1	POSITION
86	1241790072103	1	POSITION
87	1241790110537	1	POSITION
88	1241790289352	1	POSITION
89	1241790328362	1	POSITION
90	1241790355567	92	POSITION
91	1241790628023	1	POSITION
92	1241809579165	30	QUESTION
93	1241814381056	253	QUESTION
94	1241817104033	253	QUESTION
95	1241994836580	38	QUESTION
96	1242044956594	2	POSITION
97	1242050346278	1	POSITION
98	1242068129244	234	QUESTION
99	1242078630047	30	QUESTION
100	1242086755414	234	QUESTION
101	1242119294081	232	POSITION
102	1242123244326	8	QUESTION
103	1242150331384	1	POSITION
104	1242169015672	162	QUESTION
105	1242171697139	234	QUESTION
106	1242200756597	232	POSITION
107	1242218316619	8	POSITION
108	1242227729729	1	POSITION
109	1242246326476	1	POSITION
110	1242248801173	92	POSITION
111	1242248909739	92	POSITION
112	1242248986728	92	POSITION
113	1242249257759	92	POSITION
114	1242249319275	8	POSITION
115	1242249345548	8	POSITION
116	1242249453962	8	POSITION
117	1242249496477	8	POSITION
118	1242249625848	8	POSITION
119	1242249707521	8	POSITION
120	1242249751919	8	POSITION
121	1242271588510	52	QUESTION
122	1242302781746	253	QUESTION
123	1242303530964	52	QUESTION
124	1242310052611	234	QUESTION
125	1242325910830	3	POSITION
126	1242337052195	234	QUESTION
127	1242338283901	8	POSITION
128	1242384647024	269	POSITION
129	1242387693755	92	POSITION
130	1242396781583	234	QUESTION
131	1242409057767	8	POSITION
132	1242624102379	234	QUESTION
133	1242642882156	8	POSITION
134	1242743236856	234	QUESTION
135	1242810164890	2	POSITION
136	1242928385017	313	POSITION
137	1242928703407	1	POSITION
138	1242932818992	1	POSITION
139	1242990264439	123	QUESTION
140	1243003174173	123	QUESTION
141	1243006726214	318	QUESTION
142	1243008814378	119	QUESTION
143	1243023203175	1	QUESTION
144	1243097300020	319	QUESTION
145	1243329217280	2	POSITION
146	1243369434659	123	QUESTION
147	1243427837683	2	POSITION
148	1243444058147	3	POSITION
149	1243460595249	8	POSITION
150	1243516752056	265	NEWSREPORT
151	1243517049237	234	NEWSREPORT
152	1243521763416	30	QUESTION
153	1243522927117	119	NEWSREPORT
154	1243529391592	38	QUESTION
157	1243559001035	234	POSITION
158	1243567380966	3	QUESTION
159	1243584447541	331	QUESTION
160	1243606989968	1	POSITION
161	1243613483831	30	QUESTION
162	1243624484693	38	QUESTION
163	1243666655221	8	QUESTION
164	1243864779078	1	POSITION
165	1243865198081	1	POSITION
166	1243865235879	1	POSITION
167	1243865291878	1	POSITION
168	1243869352731	30	QUESTION
169	1243884972003	123	QUESTION
170	1243887686661	8	POSITION
171	1243891718200	1	POSITION
172	1243925738943	8	POSITION
173	1243943542530	2	POSITION
174	1243955761759	8	POSITION
175	1243961110518	1	POSITION
176	1244069701415	8	POSITION
177	1244069748674	8	POSITION
178	1244129540136	119	QUESTION
179	1244144295794	8	POSITION
180	1244165548731	30	QUESTION
181	1244196305640	73	QUESTION
182	1244201464409	8	POSITION
183	1244201605781	8	POSITION
184	1244211245359	123	QUESTION
185	1244212463428	234	QUESTION
186	1244215699339	8	POSITION
187	1244256542766	228	QUESTION
188	1244421571537	38	QUESTION
189	1244443627851	8	POSITION
190	1244449773169	2	POSITION
191	1244452320047	8	POSITION
192	1244470377370	8	POSITION
193	1244471469973	8	POSITION
194	1244513607368	38	QUESTION
195	1244685893120	38	QUESTION
196	1244716278694	123	QUESTION
197	1244718144493	2	QUESTION
198	1244729292056	1	POSITION
199	1244738796027	52	QUESTION
200	1244752513807	3	QUESTION
201	1244810282413	8	QUESTION
202	1244816935692	234	QUESTION
203	1244821546049	1	POSITION
205	1244991274967	234	QUESTION
206	1244991711878	394	QUESTION
207	1244991950899	394	QUESTION
208	1245051157095	8	POSITION
209	1245051534644	8	POSITION
210	1245077388739	52	QUESTION
211	1245077610016	52	QUESTION
212	1245132265357	3	POSITION
213	1245153611734	10	QUESTION
214	1245183166725	343	QUESTION
215	1245209026059	8	QUESTION
216	1245234498028	8	POSITION
217	1245300113991	38	QUESTION
218	1245393089380	3	POSITION
219	1245393094820	3	POSITION
220	1245423004528	119	QUESTION
221	1245428519213	3	POSITION
222	1245434820168	3	QUESTION
223	1245440498820	215	QUESTION
224	1245625618069	123	QUESTION
225	1245656821882	8	POSITION
226	1245656951369	8	POSITION
227	1245671416442	2	POSITION
228	1245671428767	2	POSITION
229	1245671445736	2	POSITION
230	1245689345872	8	POSITION
231	1245722846644	8	POSITION
232	1245727061013	3	QUESTION
233	1245727334189	3	QUESTION
234	1245740257947	427	QUESTION
235	1245812984868	343	QUESTION
236	1245870859751	8	POSITION
237	1245871499003	8	POSITION
238	1245871556834	8	POSITION
239	1245929271982	346	NEWSREPORT
240	1245934731925	1	QUESTION
241	1245965107348	8	POSITION
242	1245979000737	428	QUESTION
243	1245997698206	427	QUESTION
244	1246034891530	428	QUESTION
245	1246255615475	8	POSITION
246	1246257212742	8	POSITION
247	1246268959083	8	POSITION
248	1246286059977	350	QUESTION
249	1246361273217	123	QUESTION
250	1246425136335	8	POSITION
251	1246455239902	8	POSITION
252	1246491138239	123	QUESTION
253	1246559233007	350	QUESTION
254	1246569579153	428	QUESTION
255	1246571109800	428	QUESTION
256	1246605688709	418	QUESTION
257	1246615867752	586	QUESTION
258	1246733192790	421	QUESTION
259	1246791502753	331	QUESTION
260	1246864166336	8	POSITION
261	1246870072339	8	POSITION
262	1246974676181	586	POSITION
263	1246985537216	8	POSITION
264	1246991343100	92	QUESTION
265	1246998117545	8	POSITION
266	1247076153682	123	QUESTION
267	1247120578189	427	QUESTION
268	1247164921249	52	POSITION
269	1247216961576	2	ECONOMICEVENT
270	1247235780825	350	QUESTION
271	1247235811131	350	QUESTION
272	1247240578545	2	POSITION
273	1247426158862	498	QUESTION
274	1247551173462	2	POSITION
275	1247663224922	569	QUESTION
276	1247665379905	234	QUESTION
277	1247689928484	48	QUESTION
278	1247710746662	8	POSITION
279	1247723258363	427	QUESTION
280	1247745196061	418	QUESTION
281	1247931297019	52	QUESTION
282	1248051383834	427	QUESTION
283	1248073791799	52	QUESTION
284	1248156812918	52	QUESTION
285	1248157583486	418	QUESTION
286	1248157630525	569	QUESTION
287	1248255584607	8	POSITION
288	1248257375461	8	POSITION
289	1248273710648	119	QUESTION
290	1248333176636	961	POSITION
291	1248364355157	961	POSITION
292	1248404765088	569	QUESTION
293	1248425615508	1060	QUESTION
294	1248453637349	3	POSITION
295	1248454254840	3	FEED_ITEM
296	1248468332095	1	QUESTION
297	1248686324073	2	POSITION
298	1248697930375	418	QUESTION
299	1248767519960	1060	QUESTION
300	1248826097334	393	QUESTION
301	1248832379364	8	FEED_ITEM
302	1248845658293	52	QUESTION
303	1248845693375	52	QUESTION
304	1248921433987	30	QUESTION
305	1248986949261	8	POSITION
306	1249017626393	52	QUESTION
307	1249049322039	350	QUESTION
308	1249055047766	1	QUESTION
309	1249062565906	48	POLL
310	1249100236605	473	QUESTION
311	1249141890242	41	TECHNICAL_ANALYSIS
312	1249328034260	573	QUESTION
313	1249359667846	3	POSITION
314	1249368890957	52	QUESTION
315	1249392165812	573	POLL
316	1249394765526	3	POSITION
317	1249396272020	3	ECONOMICEVENT
318	1249412081602	1356	POSITION
319	1249444189195	1356	POSITION
320	1249452582222	1356	POSITION
321	1249533421676	1356	POSITION
322	1249536663127	52	QUESTION
323	1249537958348	3	POSITION
324	1249570379934	1356	POSITION
325	1249570961265	1356	POSITION
326	1249609271290	38	MARKET_COMMENTARY
327	1249623375584	52	QUESTION
328	1249632002442	1385	POSITION
329	1249632331649	1385	POSITION
330	1249632422514	1385	POSITION
331	1249649463145	8	POSITION
332	1249658906982	3	POSITION
333	1249934513776	1356	POSITION
334	1249934542246	1356	POSITION
335	1249934556003	1356	POSITION
336	1249935159653	1356	POSITION
337	1249938279904	1356	POSITION
338	1249941138815	1356	POSITION
339	1249955488211	240	QUESTION
342	1250027190831	48	POLL
343	1250090959226	611	QUESTION
344	1250108077181	611	POSITION
345	1250128208711	160	POSITION
346	1250141640225	1356	POSITION
347	1250142694213	1372	POSITION
348	1250151493942	1372	POSITION
349	1250165355012	160	POSITION
350	1250168440371	541	QUESTION
351	1250171698865	1356	POSITION
352	1250171913229	1356	POSITION
353	1250172002237	1356	POSITION
354	1250172039371	1356	POSITION
355	1250172068361	1356	POSITION
356	1250172093611	1356	POSITION
357	1250172105739	1356	POSITION
358	1250197377470	160	POSITION
359	1250197623660	160	POSITION
360	1250236016064	1372	POSITION
361	1250245154107	1442	QUESTION
362	1250276644452	1372	POSITION
363	1250479550423	1372	POSITION
364	1250483719511	1530	QUESTION
365	1250514937043	569	QUESTION
366	1250517637655	1356	POSITION
367	1250561167049	1372	POSITION
368	1250561968895	160	TECHNICAL_ANALYSIS
369	1250601884492	1372	POSITION
370	1250601917886	1372	POSITION
371	1250651182903	1372	POSITION
372	1250670452429	2	QUESTION
373	1250696812502	350	MARKET_COMMENTARY
374	1250720237624	1372	TECHNICAL_ANALYSIS
375	1250745453613	3	QUESTION
376	1250761200998	1403	MARKET_COMMENTARY
377	1250761260698	1403	QUESTION
378	1250762014328	611	QUESTION
379	1250885075562	1442	MARKET_COMMENTARY
380	1250912207106	1265	QUESTION
381	1250994308944	1265	QUESTION
382	1251052997373	1356	QUESTION
383	1251053701758	1356	POSITION
384	1251058504346	1705	QUESTION
385	1251127192879	1700	QUESTION
386	1251144442784	350	QUESTION
387	1251219902337	1632	QUESTION
388	1251222839805	350	QUESTION
389	1251250092663	1632	QUESTION
390	1251313531680	1372	QUESTION
391	1251317860093	498	QUESTION
392	1251360949003	1366	POSITION
393	1251390921704	1372	QUESTION
394	1251414919313	1265	POSITION
395	1251429691877	1366	POSITION
396	1251440983610	8	POSITION
397	1251475591578	913	POSITION
398	1251797759404	1655	QUESTION
400	1251826170309	8	POSITION
401	1251831300672	123	POLL
402	1251995316277	1632	QUESTION
403	1251995329706	1632	QUESTION
404	1251995335318	1632	QUESTION
405	1252078208464	1632	QUESTION
406	1252252218507	1445	TECHNICAL_INDICATOR
407	1252305040913	1446	QUESTION
408	1252310063723	1403	QUESTION
409	1252335121618	1757	QUESTION
410	1252391714207	1757	QUESTION
411	1252395539114	1606	QUESTION
412	1252400010387	1403	QUESTION
413	1252430376375	8	POSITION
414	1252491214756	1403	MARKET_COMMENTARY
415	1252508629885	1403	MARKET_COMMENTARY
416	1252526622831	1906	QUESTION
417	1252567484785	1366	POSITION
418	1252571594414	1809	POSITION
419	1252607981795	1403	QUESTION
420	1252660032439	1678	QUESTION
421	1252779423874	8	MARKET_COMMENTARY
422	1252780610730	52	QUESTION
423	1252781528634	52	QUESTION
424	1252782070783	52	QUESTION
425	1252782259790	52	QUESTION
426	1252891326267	1366	POSITION
427	1252911393267	1403	QUESTION
428	1252916852396	1655	QUESTION
429	1252927909425	2131	QUESTION
430	1252932850653	1678	QUESTION
431	1252988595215	8	POSITION
432	1252988638245	8	POSITION
433	1253008345002	8	POSITION
434	1253048930195	2122	TECHNICAL_ANALYSIS
435	1253080744699	1366	POSITION
436	1253091370760	1825	QUESTION
437	1253098796530	8	POSITION
438	1253098820703	8	POSITION
439	1253119116864	8	QUESTION
440	1253134059235	1366	POSITION
441	1253173465597	8	POSITION
442	1253239367396	8	POSITION
443	1253329431125	2199	MARKET_COMMENTARY
444	1253354148293	2241	TECHNICAL_ANALYSIS
445	1253506253680	2282	QUESTION
446	1253547533794	1403	QUESTION
447	1253547596397	1403	QUESTION
448	1253547625763	1403	QUESTION
449	1253548108694	350	QUESTION
450	1253568608495	8	POSITION
451	1253568641561	8	POSITION
452	1253634926999	8	POSITION
453	1253634979110	8	POSITION
454	1253642828941	1403	QUESTION
455	1253712646163	2342	QUESTION
456	1253712707571	350	QUESTION
457	1253723230098	2377	POSITION
458	1253756279963	1	QUESTION
459	1253783515166	1606	QUESTION
460	1253785433580	1397	QUESTION
461	1253801839834	2194	QUESTION
462	1253849844680	569	QUESTION
463	1253894441051	2420	MARKET_COMMENTARY
464	1253922187965	498	MARKET_COMMENTARY
465	1253987966954	52	QUESTION
466	1254094303333	858	QUESTION
467	1254110314880	2420	MARKET_COMMENTARY
469	1254155386153	1632	QUESTION
470	1254289369618	2528	QUESTION
471	1254385993129	8	POSITION
472	1254386085602	8	POSITION
473	1254399329836	8	QUESTION
474	1254472512781	2309	TECHNICAL_INDICATOR
475	1254473098975	1403	QUESTION
476	1254491139871	573	QUESTION
477	1254508956441	498	MARKET_COMMENTARY
478	1254556366523	8	MARKET_COMMENTARY
479	1254581502516	52	MARKET_COMMENTARY
480	1254581554039	52	MARKET_COMMENTARY
481	1254581585213	52	MARKET_COMMENTARY
482	1254581607522	52	MARKET_COMMENTARY
483	1254581649993	52	MARKET_COMMENTARY
484	1254581677134	52	MARKET_COMMENTARY
485	1254581700976	52	MARKET_COMMENTARY
486	1254730041021	2	POSITION
487	1254730074159	2	POSITION
488	1254730120882	2	POSITION
489	1254731285748	2559	TECHNICAL_INDICATOR
497	1254756695328	350	QUESTION
498	1254760819900	1354	QUESTION
499	1254764498052	2705	TECHNICAL_INDICATOR
500	1254770950769	2363	QUESTION
501	1254775008125	1470	TECHNICAL_ANALYSIS
503	1254780388790	1470	TECHNICAL_ANALYSIS
504	1254786318147	1470	POSITION
505	1254787665078	2363	QUESTION
506	1254787760768	2363	QUESTION
507	1254799092000	38	QUESTION
508	1254809054934	2559	QUESTION
509	1254835177743	2624	QUESTION
510	1254874872660	234	QUESTION
511	1254930731695	1356	POSITION
512	1254972482153	3	POSITION
513	1254980780404	2559	QUESTION
514	1254983145551	2627	POSITION
515	1254983356767	2627	POSITION
516	1254995453747	2559	QUESTION
517	1254995520511	2559	TECHNICAL_ANALYSIS
518	1255045033305	2624	QUESTION
519	1255056223419	2122	POSITION
520	1255107543245	498	MARKET_COMMENTARY
521	1255191886121	2594	QUESTION
522	1255200023573	52	TECHNICAL_ANALYSIS
523	1255341119470	3035	QUESTION
524	1255346262873	2559	QUESTION
525	1255367472536	8	POSITION
526	1255380729727	498	MARKET_COMMENTARY
527	1255417054741	2	MARKET_COMMENTARY
528	1255428259509	2	FEED_ITEM
529	1255450914009	3102	QUESTION
530	1255453926449	3	TECHNICAL_INDICATOR
531	1255461594142	3102	QUESTION
532	1255462093135	3102	QUESTION
533	1255495819636	3106	QUESTION
534	1255502830608	3102	POSITION
535	1255526446091	3102	POSITION
536	1255616482621	2206	POSITION
537	1255616527668	2206	POSITION
538	1255618955442	2420	MARKET_COMMENTARY
539	1255639527005	3254	QUESTION
540	1255641870670	3102	POSITION
541	1255641962231	3102	POSITION
542	1255642170383	3102	POSITION
543	1255642204761	3102	POSITION
544	1255642207709	3102	POSITION
545	1255642212497	3102	POSITION
546	1255642608680	3102	QUESTION
547	1255655715552	2592	QUESTION
548	1255669343597	3106	QUESTION
549	1255712844646	3106	QUESTION
550	1255712866596	3106	QUESTION
551	1255715256904	2592	MARKET_COMMENTARY
553	1255787768813	48	POLL
554	1255797018123	498	MARKET_COMMENTARY
555	1255814312252	3063	QUESTION
556	1255864938285	1991	QUESTION
558	1255901191788	52	QUESTION
559	1255901676688	52	QUESTION
560	1255971066850	3054	POLL
561	1255971092491	3054	POLL
562	1255982751025	3194	QUESTION
563	1255999825043	30	QUESTION
564	1256011701600	3106	QUESTION
565	1256011738754	3106	QUESTION
566	1256011741358	3106	QUESTION
567	1256033129949	2206	QUESTION
568	1256033142570	2206	QUESTION
569	1256054897536	3254	QUESTION
570	1256087013264	3366	QUESTION
571	1256120499541	3193	QUESTION
572	1256136620397	3194	QUESTION
573	1256136624685	3194	QUESTION
574	1256136632973	3194	QUESTION
575	1256151367001	3496	QUESTION
576	1256162084215	498	MARKET_COMMENTARY
577	1256207436789	3641	QUESTION
578	1256207483476	3641	QUESTION
579	1256207504025	3641	QUESTION
580	1256207505173	3641	QUESTION
581	1256207506853	3641	QUESTION
582	1256234084375	3641	QUESTION
583	1256250578675	3493	TECHNICAL_ANALYSIS
586	1256250670337	3493	TECHNICAL_ANALYSIS
587	1256250874048	3493	TECHNICAL_ANALYSIS
589	1256250943380	3493	TECHNICAL_ANALYSIS
590	1256250979830	3493	TECHNICAL_ANALYSIS
591	1256251024409	3493	TECHNICAL_ANALYSIS
592	1256251063631	3493	TECHNICAL_ANALYSIS
593	1256251092305	3493	TECHNICAL_ANALYSIS
594	1256251137759	3493	TECHNICAL_ANALYSIS
596	1256251189814	3493	TECHNICAL_ANALYSIS
597	1256251215012	3493	TECHNICAL_ANALYSIS
598	1256251242625	3493	TECHNICAL_ANALYSIS
599	1256266372770	3493	QUESTION
600	1256386241876	2939	QUESTION
601	1256466615856	3644	QUESTION
602	1256478990533	52	TECHNICAL_ANALYSIS
603	1256479038816	52	QUESTION
604	1256500021305	4021	QUESTION
605	1256519354430	2609	TECHNICAL_ANALYSIS
606	1256583278897	498	MARKET_COMMENTARY
607	1256616163576	207	QUESTION
608	1256674508392	52	MARKET_COMMENTARY
609	1256687004897	4173	QUESTION
610	1256751401930	8	MARKET_COMMENTARY
611	1256751532221	8	MARKET_COMMENTARY
612	1256752990719	3209	QUESTION
613	1256760461600	99	ECONOMICEVENT
614	1256762111994	52	MARKET_COMMENTARY
615	1256763654996	52	QUESTION
616	1256774296666	3948	QUESTION
617	1256778731304	3894	QUESTION
618	1256779170705	498	MARKET_COMMENTARY
619	1256780419916	3366	QUESTION
620	1256781045355	3366	QUESTION
621	1256794306918	2344	QUESTION
622	1256794307590	2344	QUESTION
623	1256839680285	394	QUESTION
624	1256846565299	52	TECHNICAL_ANALYSIS
625	1256863208808	1	QUESTION
626	1256871585034	2344	QUESTION
627	1256916459642	3074	QUESTION
628	1256920433466	52	TECHNICAL_ANALYSIS
629	1256920506490	52	TECHNICAL_ANALYSIS
630	1256920510767	52	TECHNICAL_ANALYSIS
631	1256921988475	3209	QUESTION
632	1257003008482	3919	QUESTION
633	1257014558438	4395	QUESTION
634	1257050696958	4406	TECHNICAL_ANALYSIS
635	1257085396114	4406	QUESTION
636	1257086386010	52	MARKET_COMMENTARY
637	1257113776569	3493	QUESTION
638	1257130740662	3894	POLL
639	1257147028958	2344	QUESTION
640	1257162159526	3102	QUESTION
641	1257175940575	4277	QUESTION
642	1257215451496	350	MARKET_COMMENTARY
643	1257260020941	4047	QUESTION
645	1257326723513	4406	QUESTION
646	1257348357437	4406	QUESTION
647	1257389448057	2479	QUESTION
648	1257418268966	1678	QUESTION
649	1257437146190	4303	QUESTION
650	1257439677322	3209	QUESTION
652	1257480044739	3054	POLL
653	1257495661013	2797	QUESTION
654	1257496961692	733	POLL
655	1257504985983	4173	QUESTION
656	1257510630682	2	MARKET_COMMENTARY
657	1257692970845	52	TECHNICAL_ANALYSIS
658	1257707106871	4406	QUESTION
659	1257712996870	3054	QUESTION
660	1257713215611	3054	QUESTION
661	1257734233341	4776	MARKET_COMMENTARY
662	1257739393943	1265	QUESTION
664	1257783462040	4406	QUESTION
665	1257908442409	498	MARKET_COMMENTARY
666	1258007181189	3366	QUESTION
667	1258124433339	234	QUESTION
668	1258141573385	119	QUESTION
669	1258145654363	4047	QUESTION
670	1258293978721	52	MARKET_COMMENTARY
671	1258305509001	4776	MARKET_COMMENTARY
672	1258320305519	5166	QUESTION
673	1258334606260	569	QUESTION
674	1258343660177	3078	QUESTION
675	1258352236096	5192	QUESTION
676	1258359474806	5192	QUESTION
677	1258385100140	4374	MARKET_COMMENTARY
679	1258444468753	5192	QUESTION
680	1258525484520	4610	QUESTION
681	1258525496485	4610	QUESTION
682	1258525668795	4610	QUESTION
683	1258525671963	4610	QUESTION
684	1258525672263	4610	QUESTION
685	1258541896015	5192	QUESTION
686	1258550472304	5244	QUESTION
687	1258557247815	234	QUESTION
688	1258571670321	1	QUESTION
689	1258593541074	5510	TECHNICAL_INDICATOR
690	1258625462775	5192	POLL
691	1258635076483	350	QUESTION
692	1258692849643	5193	POLL
693	1258693861583	5193	QUESTION
694	1258723120823	4047	QUESTION
695	1258764289263	4374	QUESTION
696	1258809606611	4796	MARKET_COMMENTARY
697	1258809642069	4796	MARKET_COMMENTARY
698	1258809672419	4796	MARKET_COMMENTARY
699	1258809672655	4796	MARKET_COMMENTARY
700	1258809672859	4796	MARKET_COMMENTARY
701	1258809673419	4796	MARKET_COMMENTARY
702	1258810221354	4796	TECHNICAL_ANALYSIS
703	1258810233463	4796	TECHNICAL_ANALYSIS
704	1258810234807	4796	TECHNICAL_ANALYSIS
705	1258810234947	4796	TECHNICAL_ANALYSIS
706	1258810235083	4796	TECHNICAL_ANALYSIS
707	1258810235219	4796	TECHNICAL_ANALYSIS
708	1258810235843	4796	TECHNICAL_ANALYSIS
709	1258810241883	4796	TECHNICAL_ANALYSIS
710	1258810242247	4796	TECHNICAL_ANALYSIS
711	1258810242987	4796	TECHNICAL_ANALYSIS
712	1258810243363	4796	TECHNICAL_ANALYSIS
713	1258810243447	4796	TECHNICAL_ANALYSIS
714	1258810246243	4796	TECHNICAL_ANALYSIS
715	1258810250304	4796	TECHNICAL_ANALYSIS
716	1258810252716	4796	TECHNICAL_ANALYSIS
717	1258810253976	4796	TECHNICAL_ANALYSIS
718	1258810257980	4796	TECHNICAL_ANALYSIS
719	1258810258808	4796	TECHNICAL_ANALYSIS
720	1258810260296	4796	TECHNICAL_ANALYSIS
721	1258810260360	4796	TECHNICAL_ANALYSIS
722	1258810261044	4796	TECHNICAL_ANALYSIS
723	1258810262044	4796	TECHNICAL_ANALYSIS
724	1258810262228	4796	TECHNICAL_ANALYSIS
725	1258810262636	4796	TECHNICAL_ANALYSIS
726	1258810265276	4796	TECHNICAL_ANALYSIS
727	1258810265852	4796	TECHNICAL_ANALYSIS
728	1258810266008	4796	TECHNICAL_ANALYSIS
729	1258843707765	4374	QUESTION
730	1258882340331	5193	QUESTION
731	1258893204697	569	QUESTION
